Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Amiternum L'Aquila (AQ),Accettabile,19,14,46,--,4,90,79,0.4,--,2023-10-03
Via Firenze Pescara (PE),Mediocre,n.d.,n.d.,105,0.91,--,--,--,0.6,--,2023-10-03
Via Sacco Pescara (PE),Accettabile,33,--,70,--,--,109,101,--,--,2023-10-03
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,105,99,0.6,--,2023-10-02
Atessa Atessa (CH),Buona,19,--,--,n.d.,--,--,--,0.3,--,2023-10-02
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,16,38,0.47,--,103,98,--,--,2023-10-02
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,5,--,--,112,104,0.3,--,2023-10-02
Francavilla Francavilla al mare (CH),Accettabile,n.d.,n.d.,27,--,--,107,96,n.d.,--,2023-10-02
Gammarana Teramo (TE),Buona,--,n.d.,27,--,--,--,--,--,--,2023-10-02
Montesilvano Montesilvano (PE),Accettabile,n.d.,n.d.,52,0.23,--,--,--,0.0,--,2023-10-02
Ortona Villa Caldari Ortona (CH),Accettabile,21,15,15,0.27,--,102,98,0.2,--,2023-10-02
Porta Reale Teramo (TE),Accettabile,23,--,35,0.06,--,--,--,0.3,--,2023-10-02
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,14,--,--,113,106,0.2,--,2023-10-02
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-10-02
Scuola Antonelli Chieti Scalo (CH),Accettabile,24,16,34,--,5,111,104,0.2,--,2023-10-02
T. D'Annunzio Pescara (PE),Accettabile,22,16,40,n.d.,0,102,89,0.1,--,2023-10-02
Via Amiternum L'Aquila (AQ),Accettabile,20,15,35,--,5,106,99,0.3,--,2023-10-02
Via Firenze Pescara (PE),Accettabile,n.d.,n.d.,71,0.75,--,--,--,0.3,--,2023-10-02
Via Sacco Pescara (PE),Accettabile,22,--,59,--,--,116,107,--,--,2023-10-02
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,112,105,0.6,--,2023-10-01
Atessa Atessa (CH),Buona,20,--,--,n.d.,--,--,--,0.2,--,2023-10-01
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,19,15,43,0.46,--,108,97,--,--,2023-10-01
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,7,--,--,117,112,0.2,--,2023-10-01
Francavilla Francavilla al mare (CH),Mediocre,n.d.,n.d.,27,--,--,121,109,n.d.,--,2023-10-01
Gammarana Teramo (TE),Buona,--,n.d.,23,--,--,--,--,--,--,2023-10-01
Montesilvano Montesilvano (PE),Accettabile,n.d.,n.d.,67,0.23,--,--,--,0.0,--,2023-10-01
Ortona Villa Caldari Ortona (CH),Accettabile,24,16,31,0.28,--,110,106,0.2,--,2023-10-01
Porta Reale Teramo (TE),Accettabile,25,--,47,0.09,--,--,--,0.5,--,2023-10-01
S. Gregorio S. GREGORIO (AQ),Mediocre,--,--,19,--,--,123,111,0.2,--,2023-10-01
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-10-01
Scuola Antonelli Chieti Scalo (CH),Accettabile,24,17,43,--,3,120,110,0.2,--,2023-10-01
T. D'Annunzio Pescara (PE),Accettabile,28,16,38,n.d.,0,108,98,0.2,--,2023-10-01
Via Amiternum L'Aquila (AQ),Accettabile,19,13,34,--,4,110,102,0.3,--,2023-10-01
Via Firenze Pescara (PE),Accettabile,n.d.,n.d.,100,0.94,--,--,--,0.4,--,2023-10-01
Via Sacco Pescara (PE),Mediocre,25,--,79,--,--,130,116,--,--,2023-10-01
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,110,102,0.6,--,2023-09-30
Atessa Atessa (CH),Accettabile,21,--,--,n.d.,--,--,--,0.3,--,2023-09-30
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,15,44,0.44,--,106,96,--,--,2023-09-30
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,111,104,0.2,--,2023-09-30
Francavilla Francavilla al mare (CH),Accettabile,n.d.,n.d.,36,--,--,117,106,n.d.,--,2023-09-30
Gammarana Teramo (TE),Buona,--,n.d.,37,--,--,--,--,--,--,2023-09-30
Montesilvano Montesilvano (PE),Accettabile,n.d.,n.d.,63,0.24,--,--,--,0.0,--,2023-09-30
Ortona Villa Caldari Ortona (CH),Accettabile,26,17,16,0.29,--,110,103,0.2,--,2023-09-30
Porta Reale Teramo (TE),Accettabile,25,--,66,0.13,--,--,--,0.5,--,2023-09-30
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,20,--,--,114,107,0.2,--,2023-09-30
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-30
Scuola Antonelli Chieti Scalo (CH),Accettabile,26,15,34,--,3,114,104,0.2,--,2023-09-30
T. D'Annunzio Pescara (PE),Accettabile,27,14,38,n.d.,0,110,100,0.1,--,2023-09-30
Via Amiternum L'Aquila (AQ),Accettabile,21,13,22,--,4,105,99,0.3,--,2023-09-30
Via Firenze Pescara (PE),Accettabile,n.d.,n.d.,64,0.98,--,--,--,0.4,--,2023-09-30
Via Sacco Pescara (PE),Mediocre,25,--,60,--,--,124,116,--,--,2023-09-30
Arischia L'Aquila (AQ),Accettabile,--,--,8,--,--,102,94,0.6,--,2023-09-29
Atessa Atessa (CH),Accettabile,21,--,--,n.d.,--,--,--,0.4,--,2023-09-29
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,15,49,0.42,--,96,90,--,--,2023-09-29
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,11,--,--,106,100,0.2,--,2023-09-29
Francavilla Francavilla al mare (CH),Accettabile,n.d.,n.d.,35,--,--,110,100,n.d.,--,2023-09-29
Gammarana Teramo (TE),Buona,--,n.d.,26,--,--,--,--,--,--,2023-09-29
Montesilvano Montesilvano (PE),Accettabile,n.d.,n.d.,53,0.25,--,--,--,0.0,--,2023-09-29
Ortona Villa Caldari Ortona (CH),Accettabile,26,13,25,0.27,--,102,96,0.2,--,2023-09-29
Porta Reale Teramo (TE),Accettabile,26,--,68,0.12,--,--,--,0.4,--,2023-09-29
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,14,--,--,107,100,0.2,--,2023-09-29
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-29
Scuola Antonelli Chieti Scalo (CH),Accettabile,25,16,42,--,2,109,99,0.2,--,2023-09-29
T. D'Annunzio Pescara (PE),Accettabile,28,14,45,n.d.,5,104,95,0.1,--,2023-09-29
Via Amiternum L'Aquila (AQ),Accettabile,22,14,26,--,4,97,91,0.3,--,2023-09-29
Via Firenze Pescara (PE),Accettabile,n.d.,n.d.,54,0.79,--,--,--,0.4,--,2023-09-29
Via Sacco Pescara (PE),Accettabile,28,--,63,--,--,118,110,--,--,2023-09-29
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,101,98,0.6,--,2023-09-28
Atessa Atessa (CH),Accettabile,21,--,--,n.d.,--,--,--,0.3,--,2023-09-28
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,23,15,41,0.41,--,101,90,--,--,2023-09-28
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,5,--,--,109,98,0.2,--,2023-09-28
Francavilla Francavilla al mare (CH),Accettabile,25,13,34,--,--,106,96,n.d.,--,2023-09-28
Gammarana Teramo (TE),Buona,--,n.d.,39,--,--,--,--,--,--,2023-09-28
Montesilvano Montesilvano (PE),Buona,n.d.,n.d.,39,0.16,--,--,--,0.1,--,2023-09-28
Ortona Villa Caldari Ortona (CH),Accettabile,25,13,13,0.25,--,104,96,0.1,--,2023-09-28
Porta Reale Teramo (TE),Accettabile,26,--,66,0.11,--,--,--,0.4,--,2023-09-28
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,16,--,--,105,100,0.2,--,2023-09-28
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-28
Scuola Antonelli Chieti Scalo (CH),Accettabile,26,14,32,--,3,109,94,0.2,--,2023-09-28
T. D'Annunzio Pescara (PE),Accettabile,28,13,46,n.d.,0,104,94,0.1,--,2023-09-28
Via Amiternum L'Aquila (AQ),Accettabile,22,13,22,--,3,98,94,0.3,--,2023-09-28
Via Firenze Pescara (PE),Accettabile,n.d.,n.d.,83,0.84,--,--,--,0.4,--,2023-09-28
Via Sacco Pescara (PE),Accettabile,29,--,55,--,--,111,102,--,--,2023-09-28
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,90,85,0.6,--,2023-09-27
Atessa Atessa (CH),Buona,14,--,--,n.d.,--,--,--,0.3,--,2023-09-27
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,13,10,20,0.38,--,87,83,--,--,2023-09-27
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,7,--,--,93,85,0.2,--,2023-09-27
Francavilla Francavilla al mare (CH),Accettabile,16,8,21,--,--,91,85,n.d.,--,2023-09-27
Gammarana Teramo (TE),Buona,--,n.d.,20,--,--,--,--,--,--,2023-09-27
Montesilvano Montesilvano (PE),Buona,n.d.,n.d.,36,0.17,--,--,--,0.1,--,2023-09-27
Ortona Villa Caldari Ortona (CH),Accettabile,13,7,10,0.25,--,92,86,0.1,--,2023-09-27
Porta Reale Teramo (TE),Accettabile,15,--,45,0.09,--,--,--,0.3,--,2023-09-27
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,17,--,--,96,90,0.2,--,2023-09-27
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-27
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,8,38,--,3,95,85,0.2,--,2023-09-27
T. D'Annunzio Pescara (PE),Accettabile,25,7,38,n.d.,0,91,82,0.1,--,2023-09-27
Via Amiternum L'Aquila (AQ),Accettabile,13,8,38,--,3,87,81,0.3,--,2023-09-27
Via Firenze Pescara (PE),Buona,n.d.,n.d.,35,0.67,--,--,--,0.3,--,2023-09-27
Via Sacco Pescara (PE),Accettabile,16,--,38,--,--,98,90,--,--,2023-09-27
Arischia L'Aquila (AQ),Accettabile,--,--,6,--,--,87,83,0.6,--,2023-09-26
Atessa Atessa (CH),Buona,10,--,--,n.d.,--,--,--,0.3,--,2023-09-26
Castel Di Sangro Castel Di Sangro (AQ),Buona,6,4,18,0.38,--,73,64,--,--,2023-09-26
Cepagatti ASL Cepagatti (PE),Buona,--,--,3,--,--,72,69,0.2,--,2023-09-26
Francavilla Francavilla al mare (CH),Buona,11,3,14,--,--,70,67,n.d.,--,2023-09-26
Gammarana Teramo (TE),Buona,--,n.d.,15,--,--,--,--,--,--,2023-09-26
Montesilvano Montesilvano (PE),Buona,n.d.,n.d.,22,0.10,--,--,--,0.2,--,2023-09-26
Ortona Villa Caldari Ortona (CH),Buona,7,3,5,0.21,--,70,68,0.1,--,2023-09-26
Porta Reale Teramo (TE),Buona,10,--,39,0.04,--,--,--,0.3,--,2023-09-26
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,18,--,--,87,79,0.3,--,2023-09-26
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-26
Scuola Antonelli Chieti Scalo (CH),Buona,9,3,34,--,2,68,60,0.1,--,2023-09-26
T. D'Annunzio Pescara (PE),Buona,20,4,19,n.d.,0,68,65,0.1,--,2023-09-26
Via Amiternum L'Aquila (AQ),Accettabile,7,5,33,--,3,84,70,n.d.,--,2023-09-26
Via Firenze Pescara (PE),Buona,15,4,38,0.63,--,--,--,0.2,--,2023-09-26
Via Sacco Pescara (PE),Buona,10,--,26,--,--,72,71,--,--,2023-09-26
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,86,78,0.5,--,2023-09-25
Atessa Atessa (CH),Buona,7,--,--,n.d.,--,--,--,0.3,--,2023-09-25
Castel Di Sangro Castel Di Sangro (AQ),Buona,6,3,28,0.37,--,79,68,--,--,2023-09-25
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,3,--,--,82,63,0.1,--,2023-09-25
Francavilla Francavilla al mare (CH),Buona,7,3,15,--,--,75,71,n.d.,--,2023-09-25
Gammarana Teramo (TE),Buona,--,n.d.,9,--,--,--,--,--,--,2023-09-25
Montesilvano Montesilvano (PE),Buona,8,3,21,0.09,--,--,--,0.3,--,2023-09-25
Ortona Villa Caldari Ortona (CH),Buona,6,2,8,0.23,--,77,n.d.,0.1,--,2023-09-25
Porta Reale Teramo (TE),Buona,8,--,24,0.02,--,--,--,0.2,--,2023-09-25
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,12,--,--,88,79,0.1,--,2023-09-25
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-25
Scuola Antonelli Chieti Scalo (CH),Buona,9,5,21,--,2,76,60,0.1,--,2023-09-25
T. D'Annunzio Pescara (PE),Buona,8,4,13,n.d.,0,66,55,0.1,--,2023-09-25
Via Amiternum L'Aquila (AQ),Accettabile,5,4,13,--,3,84,75,0.2,--,2023-09-25
Via Firenze Pescara (PE),Buona,7,3,21,0.68,--,--,--,0.1,--,2023-09-25
Via Sacco Pescara (PE),Buona,7,--,20,--,--,78,66,--,--,2023-09-25
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,88,78,0.2,--,2023-09-24
Atessa Atessa (CH),Buona,13,--,--,n.d.,--,--,--,0.3,--,2023-09-24
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,13,6,42,0.37,--,75,73,--,--,2023-09-24
Cepagatti ASL Cepagatti (PE),Buona,--,--,6,--,--,76,62,0.1,--,2023-09-24
Francavilla Francavilla al mare (CH),Buona,13,5,22,--,--,76,59,n.d.,--,2023-09-24
Gammarana Teramo (TE),Buona,--,n.d.,18,--,--,--,--,--,--,2023-09-24
Montesilvano Montesilvano (PE),Accettabile,14,6,41,0.14,--,--,--,0.4,--,2023-09-24
Ortona Villa Caldari Ortona (CH),Buona,15,6,11,0.20,--,n.d.,n.d.,0.1,--,2023-09-24
Porta Reale Teramo (TE),Accettabile,10,--,48,0.20,--,--,--,0.2,--,2023-09-24
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,12,--,--,87,79,0.1,--,2023-09-24
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-24
Scuola Antonelli Chieti Scalo (CH),Buona,16,7,28,--,2,66,52,0.2,--,2023-09-24
T. D'Annunzio Pescara (PE),Buona,13,4,22,n.d.,0,59,51,0.1,--,2023-09-24
Via Amiternum L'Aquila (AQ),Accettabile,8,5,17,--,3,89,81,0.2,--,2023-09-24
Via Firenze Pescara (PE),Accettabile,13,6,48,0.71,--,--,--,0.2,--,2023-09-24
Via Sacco Pescara (PE),Buona,13,--,32,--,--,72,58,--,--,2023-09-24
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,91,84,0.1,--,2023-09-23
Atessa Atessa (CH),Mediocre,41,--,--,n.d.,--,--,--,0.3,--,2023-09-23
Castel Di Sangro Castel Di Sangro (AQ),Mediocre,37,13,46,0.39,--,89,77,--,--,2023-09-23
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,11,--,--,87,81,0.2,--,2023-09-23
Francavilla Francavilla al mare (CH),Accettabile,35,14,34,--,--,71,56,n.d.,--,2023-09-23
Gammarana Teramo (TE),Buona,--,n.d.,40,--,--,--,--,--,--,2023-09-23
Montesilvano Montesilvano (PE),Accettabile,35,15,52,0.24,--,--,--,0.5,--,2023-09-23
Ortona Villa Caldari Ortona (CH),Mediocre,37,14,14,0.20,--,86,76,0.1,--,2023-09-23
Porta Reale Teramo (TE),Accettabile,30,--,67,0.19,--,--,--,0.3,--,2023-09-23
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,28,--,--,94,85,0.2,--,2023-09-23
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-23
Scuola Antonelli Chieti Scalo (CH),Mediocre,37,16,51,--,4,80,68,0.3,--,2023-09-23
T. D'Annunzio Pescara (PE),Mediocre,36,11,52,n.d.,0,67,59,0.2,--,2023-09-23
Via Amiternum L'Aquila (AQ),Accettabile,27,10,33,--,3,90,82,0.3,--,2023-09-23
Via Firenze Pescara (PE),Mediocre,41,14,88,1.13,--,--,--,0.8,--,2023-09-23
Via Sacco Pescara (PE),Mediocre,47,--,62,--,--,78,64,--,--,2023-09-23
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,88,81,0.2,--,2023-09-22
Atessa Atessa (CH),Accettabile,22,--,--,n.d.,--,--,--,0.3,--,2023-09-22
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,22,8,48,0.39,--,78,67,--,--,2023-09-22
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,6,--,--,88,84,0.1,--,2023-09-22
Francavilla Francavilla al mare (CH),Accettabile,26,11,32,--,--,89,71,n.d.,--,2023-09-22
Gammarana Teramo (TE),Buona,--,n.d.,27,--,--,--,--,--,--,2023-09-22
Montesilvano Montesilvano (PE),Accettabile,28,12,58,0.17,--,--,--,0.4,--,2023-09-22
Ortona Villa Caldari Ortona (CH),Accettabile,22,8,21,0.28,--,89,78,0.1,--,2023-09-22
Porta Reale Teramo (TE),Accettabile,23,--,53,0.09,--,--,--,0.2,--,2023-09-22
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,22,--,--,91,82,0.2,--,2023-09-22
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-22
Scuola Antonelli Chieti Scalo (CH),Accettabile,27,14,41,--,2,85,77,0.2,--,2023-09-22
T. D'Annunzio Pescara (PE),Accettabile,27,9,32,n.d.,0,82,70,0.1,--,2023-09-22
Via Amiternum L'Aquila (AQ),Accettabile,24,10,31,--,3,86,82,0.2,--,2023-09-22
Via Firenze Pescara (PE),Accettabile,31,12,71,0.77,--,--,--,0.5,--,2023-09-22
Via Sacco Pescara (PE),Mediocre,41,--,55,--,--,92,81,--,--,2023-09-22
Arischia L'Aquila (AQ),Accettabile,--,--,7,--,--,86,80,0.3,--,2023-09-21
Atessa Atessa (CH),Accettabile,32,--,--,n.d.,--,--,--,0.3,--,2023-09-21
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,21,10,43,0.39,--,79,67,--,--,2023-09-21
Cepagatti ASL Cepagatti (PE),Buona,--,--,10,--,--,75,68,0.2,--,2023-09-21
Francavilla Francavilla al mare (CH),Accettabile,29,13,32,--,--,79,70,n.d.,--,2023-09-21
Gammarana Teramo (TE),Buona,--,n.d.,31,--,--,--,--,--,--,2023-09-21
Montesilvano Montesilvano (PE),Accettabile,32,13,38,0.17,--,--,--,0.4,--,2023-09-21
Ortona Villa Caldari Ortona (CH),Accettabile,31,9,22,0.29,--,81,77,0.1,--,2023-09-21
Porta Reale Teramo (TE),Accettabile,25,--,66,0.14,--,--,--,0.3,--,2023-09-21
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,21,--,--,88,81,0.2,--,2023-09-21
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-21
Scuola Antonelli Chieti Scalo (CH),Mediocre,38,19,45,--,3,66,52,0.3,--,2023-09-21
T. D'Annunzio Pescara (PE),Accettabile,32,10,41,n.d.,0,72,65,0.1,--,2023-09-21
Via Amiternum L'Aquila (AQ),Accettabile,24,9,28,--,3,80,76,0.3,--,2023-09-21
Via Firenze Pescara (PE),Mediocre,37,13,61,0.82,--,--,--,0.5,--,2023-09-21
Via Sacco Pescara (PE),Mediocre,39,--,42,--,--,79,72,--,--,2023-09-21
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,100,86,0.4,--,2023-09-20
Atessa Atessa (CH),Accettabile,35,--,--,n.d.,--,--,--,0.4,--,2023-09-20
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,32,14,48,0.48,--,99,87,--,--,2023-09-20
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,5,--,--,94,85,0.1,--,2023-09-20
Francavilla Francavilla al mare (CH),Accettabile,30,12,39,--,--,88,81,0.2,--,2023-09-20
Gammarana Teramo (TE),Buona,--,n.d.,25,--,--,--,--,--,--,2023-09-20
Montesilvano Montesilvano (PE),Accettabile,32,14,48,0.16,--,--,--,0.4,--,2023-09-20
Ortona Villa Caldari Ortona (CH),Accettabile,34,10,22,0.25,--,91,85,0.1,--,2023-09-20
Porta Reale Teramo (TE),Buona,n.d.,--,33,0.07,--,--,--,0.2,--,2023-09-20
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,31,--,--,99,87,0.4,--,2023-09-20
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-20
Scuola Antonelli Chieti Scalo (CH),Accettabile,35,16,43,--,3,96,87,0.2,--,2023-09-20
T. D'Annunzio Pescara (PE),Accettabile,30,10,44,n.d.,0,78,71,0.1,--,2023-09-20
Via Amiternum L'Aquila (AQ),Accettabile,25,10,44,--,3,102,87,0.2,--,2023-09-20
Via Firenze Pescara (PE),Accettabile,34,13,82,0.75,--,--,--,0.5,--,2023-09-20
Via Sacco Pescara (PE),Mediocre,38,--,70,--,--,92,87,--,--,2023-09-20
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,96,84,0.8,--,2023-09-19
Atessa Atessa (CH),Buona,19,--,--,n.d.,--,--,--,0.3,--,2023-09-19
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2023-09-19
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,7,--,--,99,89,0.2,--,2023-09-19
Francavilla Francavilla al mare (CH),Accettabile,20,11,19,--,--,98,86,0.1,--,2023-09-19
Gammarana Teramo (TE),Buona,--,n.d.,23,--,--,--,--,--,--,2023-09-19
Montesilvano Montesilvano (PE),Accettabile,19,11,35,0.16,--,--,--,0.4,--,2023-09-19
Ortona Villa Caldari Ortona (CH),Accettabile,21,11,13,0.26,--,102,88,0.1,--,2023-09-19
Porta Reale Teramo (TE),Accettabile,24,--,55,0.14,--,--,--,0.2,--,2023-09-19
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,17,--,--,95,84,0.2,--,2023-09-19
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-19
Scuola Antonelli Chieti Scalo (CH),Accettabile,26,16,25,--,3,97,86,0.2,--,2023-09-19
T. D'Annunzio Pescara (PE),Accettabile,21,11,25,n.d.,0,84,74,0.1,--,2023-09-19
Via Amiternum L'Aquila (AQ),Accettabile,27,13,35,--,3,96,80,0.3,--,2023-09-19
Via Firenze Pescara (PE),Accettabile,22,12,37,0.72,--,--,--,0.4,--,2023-09-19
Via Sacco Pescara (PE),Accettabile,23,--,27,--,--,101,92,--,--,2023-09-19
Arischia L'Aquila (AQ),Accettabile,--,--,2,--,--,85,82,0.3,--,2023-09-18
Atessa Atessa (CH),Buona,13,--,--,n.d.,--,--,--,0.4,--,2023-09-18
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2023-09-18
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,6,--,--,89,81,0.1,--,2023-09-18
Francavilla Francavilla al mare (CH),Accettabile,14,8,18,--,--,90,85,0.1,--,2023-09-18
Gammarana Teramo (TE),Buona,--,3,16,--,--,--,--,--,--,2023-09-18
Montesilvano Montesilvano (PE),Buona,14,9,34,0.13,--,--,--,0.3,--,2023-09-18
Ortona Villa Caldari Ortona (CH),Accettabile,17,11,7,0.26,--,91,87,0.1,--,2023-09-18
Porta Reale Teramo (TE),Accettabile,20,--,45,0.10,--,--,--,0.2,--,2023-09-18
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,9,--,--,85,82,0.3,--,2023-09-18
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-18
Scuola Antonelli Chieti Scalo (CH),Accettabile,19,13,26,--,2,91,84,0.2,--,2023-09-18
T. D'Annunzio Pescara (PE),Accettabile,20,11,17,n.d.,0,75,70,0.1,--,2023-09-18
Via Amiternum L'Aquila (AQ),Accettabile,23,11,28,--,3,84,82,0.2,--,2023-09-18
Via Firenze Pescara (PE),Buona,17,9,29,0.65,--,--,--,0.2,--,2023-09-18
Via Sacco Pescara (PE),Accettabile,17,--,27,--,--,96,91,--,--,2023-09-18
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,89,83,0.2,--,2023-09-17
Atessa Atessa (CH),Buona,15,--,--,n.d.,--,--,--,0.4,--,2023-09-17
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2023-09-17
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,5,--,--,89,85,0.1,--,2023-09-17
Francavilla Francavilla al mare (CH),Accettabile,12,7,15,--,--,93,88,0.1,--,2023-09-17
Gammarana Teramo (TE),Buona,--,4,11,--,--,--,--,--,--,2023-09-17
Montesilvano Montesilvano (PE),Buona,14,9,22,0.19,--,--,--,0.3,--,2023-09-17
Ortona Villa Caldari Ortona (CH),Accettabile,14,9,12,0.23,--,90,88,0.1,--,2023-09-17
Porta Reale Teramo (TE),Accettabile,22,--,34,0.13,--,--,--,0.3,--,2023-09-17
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,16,--,--,89,82,0.2,--,2023-09-17
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,n.d.,2023-09-17
Scuola Antonelli Chieti Scalo (CH),Accettabile,20,16,18,--,2,92,87,0.2,--,2023-09-17
T. D'Annunzio Pescara (PE),Accettabile,16,9,22,n.d.,0,81,77,0.1,--,2023-09-17
Via Amiternum L'Aquila (AQ),Accettabile,15,9,18,--,3,94,87,0.2,--,2023-09-17
Via Firenze Pescara (PE),Buona,17,10,39,0.70,--,--,--,0.3,--,2023-09-17
Via Sacco Pescara (PE),Accettabile,19,--,37,--,--,98,95,--,--,2023-09-17
Arischia L'Aquila (AQ),Accettabile,--,--,8,--,--,91,91,0.2,--,2023-09-16
Atessa Atessa (CH),Buona,15,--,--,0.30,--,--,--,0.5,--,2023-09-16
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2023-09-16
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,5,--,--,99,93,0.2,--,2023-09-16
Francavilla Francavilla al mare (CH),Accettabile,14,8,22,--,--,102,96,0.1,--,2023-09-16
